"name","type","id","date_established","detail_page_url","acreage"
"Lolo","forest","lolo","1906-09-20T05:00:00.000Z","https://en.wikipedia.org/wiki/Lolo_National_Forest",2237961
"Los Padres","forest","lospadres","1898-03-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Los_Padres_National_Forest",1772237
"Malheur","forest","malheur","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Malheur_National_Forest",1480818
"Manti-La Sal","forest","mantilasal","1903-05-29T05:00:00.000Z","https://en.wikipedia.org/wiki/Manti-La_Sal_National_Forest",1269984
"Mark Twain","forest","marktwain","1939-09-11T05:00:00.000Z","https://en.wikipedia.org/wiki/Mark_Twain_National_Forest",1504881
"Medicine Bow – Routt","forest","medicinebowroutt","1902-05-22T05:00:00.000Z","https://en.wikipedia.org/wiki/Medicine_Bow_%E2%80%93_Routt_National_Forest",2210327
"Mendocino","forest","mendocino","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Mendocino_National_Forest",915532
"Modoc","forest","modoc","1904-11-29T06:00:00.000Z","https://en.wikipedia.org/wiki/Modoc_National_Forest",1680405
"Monongahela","forest","monongahela","1920-04-28T05:00:00.000Z","https://en.wikipedia.org/wiki/Monongahela_National_Forest",920583
"Nebraska","forest","nebraska","1902-04-16T05:00:00.000Z","https://en.wikipedia.org/wiki/Nebraska_National_Forest",140813
"Ochoco","forest","ochoco","1911-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Ochoco_National_Forest",854817
"Olympic","forest","olympic","1897-02-22T06:00:00.000Z","https://en.wikipedia.org/wiki/Olympic_National_Forest",631808
"Ottawa","forest","ottawa","1931-01-27T06:00:00.000Z","https://en.wikipedia.org/wiki/Ottawa_National_Forest",990961
"Ouachita","forest","ouachita","1907-12-18T06:00:00.000Z","https://en.wikipedia.org/wiki/Ouachita_National_Forest",1785468
"Ozark-St. Francis","forest","ozarkstfrancis","1908-03-05T06:00:00.000Z","https://en.wikipedia.org/wiki/Ozark-St._Francis_National_Forest",1153374
"Payette","forest","payette","1905-06-03T05:00:00.000Z","https://en.wikipedia.org/wiki/Payette_National_Forest",2326779
"Pike","forest","pike","1892-02-11T06:00:00.000Z","https://en.wikipedia.org/wiki/Pike_National_Forest",1096146
"Plumas","forest","plumas","1905-03-27T05:00:00.000Z","https://en.wikipedia.org/wiki/Plumas_National_Forest",1189554
"Prescott","forest","prescott","1898-05-10T05:00:00.000Z","https://en.wikipedia.org/wiki/Prescott_National_Forest",1257005
"Rio Grande","forest","riogrande","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Rio_Grande_National_Forest",1837661
"Rogue River-Siskiyou","forest","rogueriversiskiyou","1893-09-28T05:00:00.000Z","https://en.wikipedia.org/wiki/Rogue_River_%E2%80%93_Siskiyou_National_Forest",1718893
"Salmon-Challis","forest","salmonchallis","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Salmon-Challis_National_Forest",4226973
"San Bernardino","forest","sanbernardino","1893-02-25T06:00:00.000Z","https://en.wikipedia.org/wiki/San_Bernardino_National_Forest",678980
"San Juan","forest","sanjuan","1905-06-03T05:00:00.000Z","https://en.wikipedia.org/wiki/San_Juan_National_Forest",1864595
"Santa Fe","forest","santafe","1892-01-11T06:00:00.000Z","https://en.wikipedia.org/wiki/Santa_Fe_National_Forest",1544748
"Sawtooth","forest","sawtooth","1905-05-29T05:00:00.000Z","https://en.wikipedia.org/wiki/Sawtooth_National_Forest",1802133
"Sequoia","forest","sequoia","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Sequoia_National_Forest",1139240
"Shasta-Trinity","forest","shastatrinity","1905-04-26T05:00:00.000Z","https://en.wikipedia.org/wiki/Shasta-Trinity_National_Forest",2229286
"Shawnee","forest","shawnee","1939-09-06T05:00:00.000Z","https://en.wikipedia.org/wiki/Shawnee_National_Forest",273482
"Shoshone","forest","shoshone","1891-03-30T05:00:00.000Z","https://en.wikipedia.org/wiki/Shoshone_National_Forest",2439093
"Sierra","forest","sierra","1893-02-14T06:00:00.000Z","https://en.wikipedia.org/wiki/Sierra_National_Forest",1311231
"Siuslaw","forest","siuslaw","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Siuslaw_National_Forest",630291
"Six Rivers","forest","sixrivers","1947-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Six_Rivers_National_Forest",977090
"Stanislaus","forest","stanislaus","1897-02-22T06:00:00.000Z","https://en.wikipedia.org/wiki/Stanislaus_National_Forest",899427
"Superior","forest","superior","1909-02-13T06:00:00.000Z","https://en.wikipedia.org/wiki/Superior_National_Forest",2092767
"Tahoe","forest","tahoe","1899-04-13T05:00:00.000Z","https://en.wikipedia.org/wiki/Tahoe_National_Forest",872981
"Tongass","forest","tongass","1907-09-10T05:00:00.000Z","https://en.wikipedia.org/wiki/Tongass_National_Forest",16748360
"Tonto","forest","tonto","1905-10-03T05:00:00.000Z","https://en.wikipedia.org/wiki/Tonto_National_Forest",2866663
"Uinta-Wasatch-Cache","forest","uintawasatchcache","1897-02-22T06:00:00.000Z","https://en.wikipedia.org/wiki/Uinta-Wasatch-Cache_National_Forest",2492404
"Umatilla","forest","umatilla","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Umatilla_National_Forest",1405898
"Umpqua","forest","umpqua","1907-03-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Umpqua_National_Forest",986120
"Wallowa-Whitman","forest","wallowawhitman","1905-05-06T05:00:00.000Z","https://en.wikipedia.org/wiki/Wallowa-Whitman_National_Forest",2261480
"Wayne","forest","wayne","1951-10-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Wayne_National_Forest",243180
