"id","name","type","date_established","acreage","detail_page_url"
"charles-young-buffalo-soldiers","Charles Young Buffalo Soldiers","monument","2013-03-25T05:00:00.000Z",0,"https://en.wikipedia.org/wiki/Charles_Young_Buffalo_Soldiers_National_Monument"
"devils-tower","Devils Tower","monument","1906-09-24T05:00:00.000Z",1346,"https://en.wikipedia.org/wiki/Devils_Tower_National_Monument"
"el-malpais","El Malpais","monument","1987-12-31T06:00:00.000Z",114276,"https://en.wikipedia.org/wiki/El_Malpais_National_Monument"
"military-working-dog-teams","Military Working Dog Teams","monument","2013-10-28T05:00:00.000Z",0,"https://en.wikipedia.org/wiki/Military_Working_Dog_Teams_National_Monument"
"misty-fjords","Misty Fjords","monument","1978-12-01T06:00:00.000Z",2294343,"https://en.wikipedia.org/wiki/Misty_Fjords_National_Monument"
"honouliuli","Honouliuli","monument","2015-02-19T06:00:00.000Z",122.5,"https://en.wikipedia.org/wiki/Honouliuli_Internment_Camp"
"admiralty-island","Admiralty Island","monument","1978-12-01T06:00:00.000Z",955747,"https://en.wikipedia.org/wiki/Admiralty_Island_National_Monument"
"mount-st.-helens","Mount St. Helens","monument","1982-08-27T05:00:00.000Z",110000,"https://en.wikipedia.org/wiki/Mount_St._Helens_National_Volcanic_Monument"
"mojave-trails","Mojave Trails","monument","2016-02-12T06:00:00.000Z",1600000,"https://en.wikipedia.org/wiki/Mojave_Trails_National_Monument"
"timpanogos-cave","Timpanogos Cave","monument","1922-10-14T05:00:00.000Z",250,"https://en.wikipedia.org/wiki/Timpanogos_Cave_National_Monument"
"papahanaumokuakea-marine","Papahānaumokuākea Marine","monument","2006-06-15T05:00:00.000Z",583000,"https://en.wikipedia.org/wiki/Papah%C4%81naumoku%C4%81kea_Marine_National_Monument"
"petroglyph","Petroglyph","monument","1990-06-27T05:00:00.000Z",7532,"https://en.wikipedia.org/wiki/Petroglyph_National_Monument"
"fort-ord","Fort Ord","monument","2012-04-20T05:00:00.000Z",0,"https://en.wikipedia.org/wiki/Fort_Ord_National_Monument"
"african-burial-ground","African Burial Ground","monument","2006-02-27T06:00:00.000Z",0.35,"https://en.wikipedia.org/wiki/African_Burial_Ground_National_Monument"
"lava-beds","Lava Beds","monument","1925-11-21T06:00:00.000Z",46692,"https://en.wikipedia.org/wiki/Lava_Beds_National_Monument"
